xPath,yPath
../augmented/train/x_13163.jpg,../augmented/train/y_13163.jpg
../augmented/train/x_22431.jpg,../augmented/train/y_22431.jpg
../augmented/train/x_7817.jpg,../augmented/train/y_7817.jpg
../augmented/train/x_3125.jpg,../augmented/train/y_3125.jpg
../augmented/train/x_14139.jpg,../augmented/train/y_14139.jpg
../augmented/train/x_1219.jpg,../augmented/train/y_1219.jpg
../augmented/train/x_12007.jpg,../augmented/train/y_12007.jpg
../augmented/train/x_3271.jpg,../augmented/train/y_3271.jpg
../augmented/train/x_275.jpg,../augmented/train/y_275.jpg
../augmented/train/x_4760.jpg,../augmented/train/y_4760.jpg
../augmented/train/x_826.jpg,../augmented/train/y_826.jpg
../augmented/train/x_5990.jpg,../augmented/train/y_5990.jpg
../augmented/train/x_18816.jpg,../augmented/train/y_18816.jpg
../augmented/train/x_19010.jpg,../augmented/train/y_19010.jpg
../augmented/train/x_254.jpg,../augmented/train/y_254.jpg
../augmented/train/x_1474.jpg,../augmented/train/y_1474.jpg
../augmented/train/x_4397.jpg,../augmented/train/y_4397.jpg
../augmented/train/x_14695.jpg,../augmented/train/y_14695.jpg
../augmented/train/x_20055.jpg,../augmented/train/y_20055.jpg
../augmented/train/x_5934.jpg,../augmented/train/y_5934.jpg
../augmented/train/x_475.jpg,../augmented/train/y_475.jpg
../augmented/train/x_4545.jpg,../augmented/train/y_4545.jpg
../augmented/train/x_20601.jpg,../augmented/train/y_20601.jpg
../augmented/train/x_15663.jpg,../augmented/train/y_15663.jpg
../augmented/train/x_15612.jpg,../augmented/train/y_15612.jpg
../augmented/train/x_23636.jpg,../augmented/train/y_23636.jpg
../augmented/train/x_22149.jpg,../augmented/train/y_22149.jpg
../augmented/train/x_21049.jpg,../augmented/train/y_21049.jpg
../augmented/train/x_4181.jpg,../augmented/train/y_4181.jpg
../augmented/train/x_11308.jpg,../augmented/train/y_11308.jpg
../augmented/train/x_12972.jpg,../augmented/train/y_12972.jpg
../augmented/train/x_14162.jpg,../augmented/train/y_14162.jpg
../augmented/train/x_89.jpg,../augmented/train/y_89.jpg
../augmented/train/x_22480.jpg,../augmented/train/y_22480.jpg
../augmented/train/x_16964.jpg,../augmented/train/y_16964.jpg
../augmented/train/x_3202.jpg,../augmented/train/y_3202.jpg
../augmented/train/x_13274.jpg,../augmented/train/y_13274.jpg
../augmented/train/x_18144.jpg,../augmented/train/y_18144.jpg
